grid_id,centroid_lat,centroid_lon,base_cnt,heat_cnt,heat_ratio,data_quality,func_type
ws07pgz,23.0486299999999993,113.202438000000001,45,48,1.06666666666666667,medium,
ws07pqu,23.0651089999999996,113.176345999999995,30,48,1.60000000000000000,medium,
ws07pqv,23.0651089999999996,113.177718999999996,42,43,1.02380952380952381,medium,
ws07pqw,23.0637359999999987,113.179091999999997,43,40,0.93023255813953488,medium,
ws07pqx,23.0637359999999987,113.180465999999996,32,34,1.06250000000000000,medium,
ws07pqy,23.0651089999999996,113.179091999999997,45,48,1.06666666666666667,medium,
ws07pqz,23.0651089999999996,113.180465999999996,37,36,0.97297297297297297,medium,
ws07pr5,23.0664830000000016,113.174972999999994,48,42,0.87500000000000000,medium,
ws07pr7,23.067855999999999,113.174972999999994,64,87,1.35937500000000000,medium,
ws07prd,23.069229,113.173598999999996,124,128,1.03225806451612903,high,
ws07pre,23.069229,113.174972999999994,138,123,0.89130434782608696,high,
ws07prf,23.0706020000000009,113.173598999999996,114,125,1.09649122807017544,high,
ws07prg,23.0706020000000009,113.174972999999994,103,124,1.20388349514563107,high,
ws07prh,23.0664830000000016,113.176345999999995,49,41,0.83673469387755102,medium,
ws07prj,23.0664830000000016,113.177718999999996,33,48,1.45454545454545455,medium,
ws07prk,23.067855999999999,113.176345999999995,79,65,0.82278481012658228,medium,
ws07prm,23.067855999999999,113.177718999999996,138,168,1.21739130434782609,high,
ws07prn,23.0664830000000016,113.179091999999997,51,36,0.70588235294117647,medium,
ws07prp,23.0664830000000016,113.180465999999996,36,43,1.19444444444444444,medium,
ws07prq,23.067855999999999,113.179091999999997,79,52,0.65822784810126582,medium,
ws07prr,23.067855999999999,113.180465999999996,54,56,1.03703703703703704,medium,
ws07prs,23.069229,113.176345999999995,136,122,0.89705882352941176,high,
ws07prt,23.069229,113.177718999999996,120,111,0.92500000000000000,high,
ws07pru,23.0706020000000009,113.176345999999995,97,95,0.97938144329896907,medium,
ws07prv,23.0706020000000009,113.177718999999996,87,85,0.97701149425287356,medium,
ws07prw,23.069229,113.179091999999997,109,80,0.73394495412844037,high,
ws07prx,23.069229,113.180465999999996,104,94,0.90384615384615385,high,
